item_name,spec,item,threshold_req,target_req,item_attr,type
Product type,NRB-v5.5,1.3,,,"('type=""Normalised Radar Backscatter"",  version=""5.5"" *', 'Copyright=” ”')",
Product type,ORB-v1.0,1.3,,,"('type=""Ocean Radar Backscatter"",  version=""1.0"" *', 'Copyright=” ”')",
Performance Indicators,NRB-v5.5,1.6.9,,,"('pol=[”HH”, ”HV”, …]', 'units=""dB"", type =[""Beta0"", ""Sigma0"","" Gamma0""]', 'type=[""min"",""max"",""mean""]', nan, 'units=[“dB”]  and optional,                                              direction=[“azimuth”,”range”],            beamID=”…”', 'units=[“dB”]  and optional,                                              direction=[“azimuth”,”range”],            beamID=”…”')",
Performance Indicators,ORB-v1.0,1.6.9,,,"('pol=[”HH”, ”HV”, …]', 'units=""dB"", type =[""Beta0"", ""Sigma0""]', 'type=[""min"",""max"",""mean""]', nan, 'units=[“dB”]  and optional,                                              direction=[“azimuth”,”range”],            beamID=”…”', 'units=[“dB”]  and optional,                                              direction=[“azimuth”,”range”],            beamID=”…”')",
Data Mask Image,NRB-v5.5,2.2,"('<DataMask>', '<FileName>', '<SampleType>', '<DataFormat>', '<DataType>', '<BitsPerSample>', '<ByteOrder>', '<BitValues>', '<ValidData>', '<InvalidData>', '<NoData>', nan, nan, nan, nan, nan)","(nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, '<Layover>', '<Shadow>', '<OceanWater>', '<Saturated>', '<…..>')","(nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan)","(nan, 'String', 'String   [Mask]', 'String [Raw, geotiff, vrt, …]', 'String   [Byte, UINT, INT, Float, …]', 'Integer   [1, 8, 16, 32, …]', 'String   [Big Endian, Little Endian]', nan, 'Integer', 'Integer', 'Integer', 'Integer', 'Integer', 'Integer', 'Integer', 'Integer')"
Data Mask Image,ORB-v1.0,2.2,"('<DataMask>', '<FileName>', '<SampleType>', '<DataFormat>', '<DataType>', '<BitsPerSample>', '<ByteOrder>', '<BitValues>', '<ValidData>', '<InvalidData>', '<NoData>', nan, nan, nan)","(nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, '<Land>', '<Saturated>', '<…..>')","(nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan)","(nan, 'String', 'String   [Mask]', 'String [Raw, geotiff, vrt, …]', 'String   [Byte, UINT, INT, Float, …]', 'Integer   [1, 8, 16, 32, …]', 'String   [Big Endian, Little Endian]', nan, 'Integer', 'Integer', 'Integer', 'Integer', 'Integer', 'Integer')"
Noise Power Image,NRB-v5.5,2.6,,,,"(nan, 'String', 'String   [Gamma-0,Sigma-0,Beta-0]', 'String [Raw, geotiff, vrt, …]', 'String   [Byte, UINT, INT, Float, …]', 'Integer   [1, 8, 16, 32, …]', 'String   [Big Endian, Little Endian]')"
Noise Power Image,ORB-v1.0,2.4,,,,"(nan, 'String', 'String   [Sigma-0,Beta-0]', 'String [Raw, geotiff, vrt, …]', 'String   [Byte, UINT, INT, Float, …]', 'Integer   [1, 8, 16, 32, …]', 'String   [Big Endian, Little Endian]')"
Backscatter Measurements,NRB-v5.5,3.1,,,,"(nan, 'String   [Gamma-0]', 'String  [linear amplitude, linear power]', 'String  such as  e.g.: ""dB = 10*log10(DN)"" where DN is data values in <FileName>', 'String  [HH, HV, VV, VH, …]', 'String', 'String  [Raw, geotiff, vrt, …]', 'String  [BYTE, UINT, INT,  Float, …]', 'Integer [8, 16, 32, …]', 'String   [Big Endian, Little Endian]')"
Backscatter Measurements,ORB-v1.0,3.1,,,,"(nan, 'String   [Sigma-0]', 'String  [linear amplitude, linear intensity]', 'String  such as  e.g.: ""dB = 10*log10(DN)"" where DN is data values in <FileName>', 'String  [HH, HV, VV, VH, …]', 'String', 'String  [Raw, geotiff, vrt, …]', 'String  [BYTE, UINT, INT,  Float, …]', 'Integer [8, 16, 32, …]', 'String   [Big Endian, Little Endian]')"
Geometric Correction Algorithms,NRB-v5.5,4.1,,"('<GeoCorrAlgorithm>', '<ResamplingMethod>')",,
Geometric Correction Algorithms,ORB-v1.0,4.1,,"('<GeoCorrAlgorithm>', '<GeoCorrResamplingMethod>')",,
